file_id,fw-og,fw-i,fw-det,fw-den,fw-at,fw-jeg,fw-som,fw-en,fw-er,fw-til,fw-med,fw-de,fw-paa,fw-han,fw-af,fw-saa,fw-der,fw-for,fw-var,fw-du,fw-men,fw-ikke,fw-et,fw-mig,fw-sig,fw-om,fw-har,fw-hun,fw-da,fw-min,fw-ved,fw-fra,fw-nu,fw-vi,fw-hans,fw-sin,fw-hvor,fw-dig,fw-ham,fw-skal,fw-vil,fw-hvad,fw-din,fw-havde,fw-naar,fw-kan,fw-dog,fw-dem,fw-man,fw-over,fw-her,fw-alle,fw-kun,fw-os,fw-selv,fw-blev,fw-ud,fw-mit,fw-gud,fw-end,fw-op,fw-sagde,fw-ja,fw-ei,fw-kom,fw-mod,fw-alt,fw-o,fw-være,fw-kunde,fw-vor,fw-sit,fw-vel,fw-oc,fw-ingen,fw-jo,fw-eller,fw-vilde,fw-maa,fw-denne,fw-hand,fw-efter,fw-thi,fw-ind,fw-deres,fw-dit,fw-gik,fw-hendes,fw-hver,fw-under,fw-hende,fw-aldrig,fw-ned,fw-ej,fw-ey,fw-gamle,fw-have,fw-skulde,fw-lille,fw-hvis
grundtvig12val_workid90687,13,6,12,7,5,1,7,1,4,12,5,3,4,5,1,5,0,6,2,1,1,0,0,2,3,2,1,2,3,1,0,1,3,2,1,1,0,0,3,0,1,4,0,0,0,1,4,0,0,0,0,2,2,0,0,2,0,0,0,2,1,2,0,6,1,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1
stub01val_workid62722,5,7,1,2,1,0,2,3,2,4,0,4,1,0,4,2,1,0,1,3,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,2,0,0,0,3,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2
wied02val_workid75780,140,38,43,50,31,61,8,39,37,32,26,13,36,43,26,30,33,17,17,10,14,21,22,24,13,13,11,0,11,9,8,12,10,5,1,3,6,4,13,2,4,9,0,7,0,7,1,4,3,14,1,1,2,1,2,1,15,2,2,2,12,17,7,0,2,5,2,0,2,5,2,3,0,0,5,12,5,6,3,1,0,11,3,3,2,2,3,0,0,3,0,2,13,1,0,2,0,4,1,0
aakjaer01val_workid81152,9,6,2,1,0,0,2,1,1,3,3,1,0,0,5,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
michs_01_workid55322,2,3,3,1,0,4,0,0,3,0,1,0,1,0,0,0,2,0,1,1,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wintherchr01val_workid102823,1,3,5,4,1,6,3,0,3,2,1,0,1,0,4,3,3,0,1,6,1,1,1,4,0,0,0,0,2,1,1,1,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bording01val_workid135994,0,1,1,0,5,5,3,1,2,0,1,1,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
claussen09val_workid58604,65,38,11,15,5,30,14,25,17,6,18,9,16,1,16,13,5,12,12,9,10,1,7,15,2,4,8,9,10,11,2,6,3,5,3,7,7,2,0,2,0,1,2,0,1,4,0,1,2,3,0,2,5,1,0,1,1,5,2,0,0,0,1,0,4,0,1,0,0,1,3,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,5,1,3,1,2,0,1,0,0,0,1,0,2
aakjaer01val_workid79558,10,6,1,1,2,1,0,2,0,0,1,3,2,2,0,6,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0
aare01val_workid69325,7,1,1,1,1,5,0,4,0,0,1,1,2,0,0,0,1,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
