file_id	author	title	volume	birth	death
holb11val_workid68267	 Ludvig Holberg	Epistola 453	"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER"	1684	1754
munp1_workid57404	 Gustaf Munch-Petersen	Livets mening	samlede skrifter I	1912	1938
kingo09val_workid98584	 Thomas Kingo	Bryder frem i hule sukke (dk)	Digtning i udvalg	1634	1703
skjold_03_workid56361	 Johan Skjoldborg	Der vokser skov paa heden	DYNÆS DIGTE	1861	1936
brorson02val_workid54385	 Hans Adolph Brorson	I jomfruer, i kloge	Samlede skrifter	1694	1764
stuckenberg02_workid64951	 Viggo Stuckenberg	Højsommer	SAMLEDE VÆRKER	1863	1905
oehl02val_workid59720	 Adam Oehlenschläger	Aladdin, eller den forunderlige lampe	POETISKE SKRIFTER II	1779	1850
heiberg_bind01_workid55442	 Johan Ludvig Heiberg	I min ungdom	Poetiske skrifter	1791	1860
brorson02val_workid129731	 Hans Adolph Brorson	Troens rare klenodie, 7. del. troens ende	Samlede skrifter	1694	1764
aare01val_workid60972	 Emil Aarestrup	En stedmodersblomst.	Samlede Skrifter I	1800	1856
hertz10_lev_workid73460	 Henrik Hertz	Med schillers digte	Blandede Digte	1798	1870
aare03val_workid66417	 Emil Aarestrup	Ved en vens hjemkomst	Aarestrup vol 3	1800	1856
kingo04val_workid83108	 Thomas Kingo	See hvor hand gaar, dend himmel-aulings mand	Samlede Skrifter 4	1634	1703
michs_03_workid65827	 Sophus Michaëlis	Gud naade mig stakkels gamle mand	SOLBLOMSTER	1865	1932
kingo04val_workid55608	 Thomas Kingo	Alleniste gud i himmerig	Samlede Skrifter 4	1634	1703
grundtvig11val_workid109473	 N.F.S. Grundtvig	Stjernernes skaber og himmelens drot	SAMLET UDGAVE	1783	1872
larsenthfiredigt_workid56706	 Thøger Larsen	 jeg drømte	Fire digtsamlinger 1904-1912	1875	1928
wintherchr01val_workid99825	 Christian Winther	Natten var mild og kjær	Poetiske Skrifter 1	1796	1876
kaalund01_workid62617	 H. V. Kaalund	Friskt vejr.	SAMLEDE DIGTE	1818	1885
rode_02_workid58390	 Helge Rode	Blomsterne er vore bedste venner	DIGTE	1870	1937
munp1_workid68980	 Gustaf Munch-Petersen	Ivigtut	samlede skrifter I	1912	1938
nansen03ny_workid56126	 Peter Nansen	Ægypteres gæstebud	SAMLEDE SKRIFTER III	1861	1918
grundtvig11val_workid99472	 N.F.S. Grundtvig	Syng, guds folk! med hjertens glæde	SAMLET UDGAVE	1783	1872
boedtcher01_workid76801	 Ludvig Bødtcher	En festskaal for rom 1868	SAMLEDE DIGTE	1793	1874
sthen01val_workid71360	 Hans Christensen Sthen	En tacksigelse oc bøn om afftenen. den hymne, christe qui lux es & dies, &c.	Skrifter I En liden Vandrebog	1544	1610
bording01val_workid88194	 Anders Bording	Forsee dig nu gradiv/ rym hen til andre riger	Digte	1619	1677
grundtvig12val_workid55795	 N.F.S. Grundtvig	Cereris og thetidis strid. en prologue (1774)	SAMLET UDGAVE	1783	1872
moeller01val_workid63392	 Poul Martin Møller	Et  blad  af  dødens  dagbog.	SKRIFTER I UDVALG	1794	1838
grundtvig12val_workid94218	 N.F.S. Grundtvig	Idag opstod den herre christ	SAMLET UDGAVE	1783	1872
aare01val_workid63839	 Emil Aarestrup	Ved evalds grav.	Samlede Skrifter I	1800	1856
hertz10_lev_workid68989	 Henrik Hertz	En lille fortælling	Blandede Digte	1798	1870
blich07_workid92110	 Steen Steensen Blicher	Himmelbjerg-taler for 1844 [uddrag]	Udvalgte Værker	1782	1848
boedtcher01_workid79376	 Ludvig Bødtcher	Balvise	SAMLEDE DIGTE	1793	1874
brorson02val_workid57969	 Hans Adolph Brorson	Hvor lystig, sød og yndig	Samlede skrifter	1694	1764
