file_id	author	title	volume	birth	death	genre	types	tokens	ratio	entropy
goldschmidt01_workid54528	 Meir Aron Goldschmidt	Arvingen	Arvingen	1819	1887	monographs	10373	95240	0.10891	9.15917
kingo03val_workid60163	 Thomas Kingo	Ach herre! lad nu ey din vred´ opsyde	Samlede Skrifter 3	1634	1703	monographs	303	658	0.46049	7.11542
kingo02val_workid75683	 Thomas Kingo	Opfordring	Samlede Skrifter 2	1634	1703	poems	229	430	0.53256	7.03296
aakjaer02val_workid61492	 Jeppe Aakjær	Gammel ka bakk.	SAMLEDE VÆRKER II	1866	1930	poems	212	578	0.36678	6.64555
kingo04val_workid76205	 Thomas Kingo	Hvor gaar du hen. o søde himmel-søn	Samlede Skrifter 4	1634	1703	monographs	100	146	0.68493	6.17197
brorson01_workid136633	 Hans Adolph Brorson	Nu vel an mit bange hierte	Samlede skrifter	1694	1764	monographs	428	1126	0.38011	7.40040
munp1_workid61703	 Gustaf Munch-Petersen	Fröding	samlede skrifter I	1912	1938	poems	37	45	0.82222	5.07508
brorson02val_workid74951	 Hans Adolph Brorson	Hvo vil med til himmerige	Samlede skrifter	1694	1764	monographs	381	943	0.40403	7.22666
kierkegaard02val_workid54242	 Søren Kierkegaard	Frygt og bæven	Frygt og Bæven Sygdommen til Døden Taler	1813	1855	monographs	5667	47504	0.11930	8.76117
plough01_workid64694	 Carl Ploug	Man har sagn om borgtapeter (1)	SAMLEDE DIGTE	1813	1894	poems	595	1266	0.46998	7.83994
holb11val_workid68267	 Ludvig Holberg	Epistola 453	"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER"	1684	1754	poems	317	686	0.46210	7.41822
munp1_workid57404	 Gustaf Munch-Petersen	Livets mening	samlede skrifter I	1912	1938	poems	65	114	0.57018	5.54351
kingo09val_workid98584	 Thomas Kingo	Bryder frem i hule sukke (dk)	Digtning i udvalg	1634	1703	poems	604	1534	0.39374	7.79981
skjold_03_workid56361	 Johan Skjoldborg	Der vokser skov paa heden	DYNÆS DIGTE	1861	1936	poems	78	142	0.54930	5.84168
brorson02val_workid54385	 Hans Adolph Brorson	I jomfruer, i kloge	Samlede skrifter	1694	1764	monographs	313	744	0.42070	6.92832
stuckenberg02_workid64951	 Viggo Stuckenberg	Højsommer	SAMLEDE VÆRKER	1863	1905	poems	85	130	0.65385	5.93591
oehl02val_workid59720	 Adam Oehlenschläger	Aladdin, eller den forunderlige lampe	POETISKE SKRIFTER II	1779	1850	drama	8331	61151	0.13624	9.08493
