file_id	author	title	volume	birth	death	genre	types	tokens	ratio
staffeldt01val_workid87312	 Schack von Staffeldt	Til phantasien [forlad ei, hulde phantasie]	Samlede digte	1769	1826	poems	141	202	0.69802
bording01val_workid135692	 Anders Bording	Jeg takker gud at jeg er ey	Digte	1619	1677	poems	116	158	0.73418
kingo09val_workid86155	 Thomas Kingo	Hierte fader, godheds rood (dk)	Digtning i udvalg	1634	1703	poems	255	482	0.52905
bang06val_workid56302	 Herman Bang	Tomhed	Værker i Mindeudgave 6	1857	1912	monographs	20	22	0.90909
ewald02dkval_workid71843	 Johannes Ewald	Fragment (6) (dk)	Udvalgte digte	1743	1781	monographs	29	35	0.82857
kingo04val_workid77830	 Thomas Kingo	Mit barn frygt dend sande gud	Samlede Skrifter 4	1634	1703	monographs	146	288	0.50694
aare04val_workid58264	 Emil Aarestrup	Mit brev jeg sender	Samlede Skrifter IV	1800	1856	poems	366	812	0.45074
sthen01val_workid67177	 Hans Christensen Sthen	En anden kort regel	Skrifter I En liden Vandrebog	1544	1610	monographs	42	57	0.73684
brandesed_04_workid54088	 Edvard Brandes	En politiker	EN POLITIKER FORTÆLLING	1847	1931	monographs	9361	65421	0.14309
hertz10_lev_workid72492	 Henrik Hertz	Til fru heiberg	Blandede Digte	1798	1870	poems	138	226	0.61062
aare01val_workid77795	 Emil Aarestrup	Der var en tid, da venskab var mit alt	Samlede Skrifter I	1800	1856	poems	48	65	0.73846
richardt03_workid72680	 Christian Richardt	Ossians digte [uddrag]	SAMLEDE DIGTE. TREDJE DEEL.	1831	1892	poems	120	190	0.63158
holb11val_workid68892	 Ludvig Holberg	Epistola 502	"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER"	1684	1754	monographs	385	1023	0.37634
claussen09val_workid72577	 Sophus Claussen	Eleonora duse	Lyrik VII	1865	1931	poems	146	278	0.52518
michs_01_workid59127	 Sophus Michaëlis	Nøkkeroser	DIGTE	1865	1932	monographs	201	317	0.63407
kaalund01_workid78077	 H. V. Kaalund	Bjørnen.	SAMLEDE DIGTE	1818	1885	poems	70	100	0.70000
munp2_workid68888	 Gustaf Munch-Petersen	Til kongl: majestets tredie feldtog 1678	samlede skrifter II	1912	1938	poems	38	46	0.82609
kaalund01_workid73300	 H. V. Kaalund	Rastløs higen.	SAMLEDE DIGTE	1818	1885	poems	87	141	0.61702
skjold_03_workid57131	 Johan Skjoldborg	Sommerdaw	DYNÆS DIGTE	1861	1936	monographs	86	156	0.55128
wesselhhl_workid82805	 Johan Herman Wessel	Hvad nytter den raaben	Samlede Digte	1742	1785	poems	166	273	0.60806
aakjaer01val_workid69452	 Jeppe Aakjær	Mads tammeses maren	SAMLEDE VÆRKER I	1866	1930	poems	162	299	0.54181
aarestrup07val_workid72138	 Emil Aarestrup	Ved stranden (dk)	Udvalgte digte	1800	1856	plays	44	63	0.69841
aakjaer01val_workid72872	 Jeppe Aakjær	Med et bind digte	SAMLEDE VÆRKER I	1866	1930	poems	54	75	0.72000
ewald04val_workid65868	 Johannes Ewald	De brutale klappere. et tragi-comisk forspil, ... (1771)	Samlede skrifter	1743	1781	plays	17	17	1.00000
claussen03val_workid62180	 Sophus Claussen	Nye piger et resultat	Lyrik I	1865	1931	poems	268	553	0.48463
aakjaer02val_workid89634	 Jeppe Aakjær	I er mange - de er faa! (shelley.)	SAMLEDE VÆRKER II	1866	1930	poems	49	70	0.70000
staffeldt01val_workid61264	 Schack von Staffeldt	Til phylllis	Samlede digte	1769	1826	poems	81	123	0.65854
kaalund01_workid55495	 H. V. Kaalund	Til adam oehlenschläger.	SAMLEDE DIGTE	1818	1885	poems	227	414	0.54831
wintherchr02val_workid58385	 Christian Winther	Henrik og else	Poetiske Skrifter 2	1796	1876	poems	492	1088	0.45221
munp2_workid68754	 Gustaf Munch-Petersen	Se -!	samlede skrifter II	1912	1938	poems	32	50	0.64000
blich06_workid81365	 Steen Steensen Blicher	Sneklokken	Udvalgte Værker	1782	1848	monographs	145	233	0.62232
kingo04val_workid59494	 Thomas Kingo	Af høyheden oprunden er	Samlede Skrifter 4	1634	1703	monographs	317	681	0.46549
plough01_workid64080	 Carl Ploug	Til johan christian drewsen	SAMLEDE DIGTE	1813	1894	monographs	144	234	0.61538
stuckenberg02_workid88713	 Viggo Stuckenberg	Til min gudsøn	SAMLEDE VÆRKER	1863	1905	poems	126	193	0.65285
hertz09_lev_workid57149	 Henrik Hertz	Hymne	Digte fra forskjellige Perioder	1798	1870	plays	95	182	0.52198
hcaeventyr02val_workid62191	 Hans Christian Andersen	Nye eventyr. første bind. anden samling. 1845.	Eventyr II	1805	1875	monographs	2910	18190	0.15998
bording01val_workid121005	 Anders Bording	O wrede sind ô haarde steen	Digte	1619	1677	poems	298	445	0.66966
blich06_workid79689	 Steen Steensen Blicher	Til glæden	Udvalgte Værker	1782	1848	monographs	155	286	0.54196
oehl01val_workid75421	 Adam Oehlenschläger	Aften-sang	POETISKE SKRIFTER I	1779	1850	plays	166	293	0.56655
grundtvig11val_workid59087	 N.F.S. Grundtvig	Som den gyldne soel udbryder	SAMLET UDGAVE	1783	1872	poems	209	399	0.52381
kaalund01_workid76850	 H. V. Kaalund	Hanen.	SAMLEDE DIGTE	1818	1885	poems	65	95	0.68421
grundtvig11val_workid100714	 N.F.S. Grundtvig	Ved kundskabs-træet, uretviis	SAMLET UDGAVE	1783	1872	poems	218	469	0.46482
aarestrup07val_workid71487	 Emil Aarestrup	Umuligheden (dk)	Udvalgte digte	1800	1856	plays	53	66	0.80303
brorson02val_workid129745	 Hans Adolph Brorson	Du arme støv og jord, hvad bilder du dig ind	Samlede skrifter	1694	1764	monographs	284	636	0.44654
richardt01_workid60165	 Christian Richardt	Stambogsblad.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892	poems	91	160	0.56875
boedtcher01_workid89778	 Ludvig Bødtcher	Med en juleengel	SAMLEDE DIGTE	1793	1874	poems	130	181	0.71823
claussen07val_workid63580	 Sophus Claussen	Skumring	Lyrik V	1865	1931	poems	78	108	0.72222
aare01val_workid56601	 Emil Aarestrup	Da vinduet var frosset.	Samlede Skrifter I	1800	1856	poems	152	237	0.64135
larsenthfiredigt_workid63764	 Thøger Larsen	Vaardagen	Fire digtsamlinger 1904-1912	1875	1928	monographs	150	224	0.66964
aakjaer01val_workid100074	 Jeppe Aakjær	Bossen	SAMLEDE VÆRKER I	1866	1930	poems	138	300	0.46000
